"address","authors","authorsori","booktitle","date","editor","institution","journal","month","note","pages","publisher","tech","title","type","volume","year"
"?","micheal j pazzani and dennis kibler","micheal j pazzani and dennis kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","54 97","?","?","the utility of prior knowledge in inductive learning","?","9","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","54 97","?","?","the utility of prior knowledge in inductive learning","?","9","1992"
"?","micheal j pazzani and dennis kibler","micheal j pazzani and dennis kibler","?","?","?","?","machine learning","?","?","54 97","?","?","the role of prior knowledge in inductive learning","?","9","1992"
"?","micheal j pazzani and dennis kibler","micheal j pazzani and dennis kibler","?","?","?","?","machine learning","?","?","54 97","?","?","the role of prior knowledge in inductive learning","?","9","1992"
"?","micheal j pazzani and dennis kibler","micheal j pazzani and dennis kibler","?","?","?","?","machine learning","?","?","54 97","?","?","the role of prior knowledge in inductive learning","?","9","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","micheal j pazzani and dennis kibler","micheal j pazzani and dennis kibler","?","?","?","?","machine learning","?","?","54 97","?","?","the role of prior knowledge in inductive learning","?","9","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of background knowledge in inductive learning","?","9","1992"
"?","pazzani m and d kibler","pazzani m and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","pazzani m and kibler d","pazzani m and kibler d","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1992"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1997"
"?","m pazzani and d kibler","m pazzani and d kibler","?","?","?","?","machine learning","?","?","57 94","?","?","the utility of knowledge in inductive learning","?","9 1","1997"
"?","bruce porter and dennus kibler","bruce porter and dennus kibler","?","?","?","?","machine learning","?","?","249 286","?","?","experimental goal regression a method for learning problem solving heuristics","?","1","1986"
"?","bruce porter and dennus kibler","bruce porter and dennus kibler","?","?","?","?","machine learning","?","?","249 286","?","?","experimental goal regression a method for learning problem solving heuristics","?","1","1986"
"?","bruce porter and dennus kibler","bruce porter and dennus kibler","?","?","?","?","machine learning","?","?","249 286","?","?","experimental goal regression a method for learning problem solving heuristics","?","1","1986"
"?","bruce porter and dennus kibler","bruce porter and dennus kibler","?","?","?","?","machine learning","?","?","249 286","?","?","experimental goal regression a method for learning problem solving heuristics","?","1","1986"
"?","bruce porter and dennus kibler","bruce porter and dennus kibler","?","?","?","?","machine learning","?","?","249 286","?","?","experimental goal regression a method for learning problem solving heuristics","?","1","1986"
"detroit mi","david ruby and dennis kibler","david ruby and dennis kibler","in proceedings of the eleventh international joint conference on artificial intelligence","?","?","?","?","?","?","pages 609 614","?","?","learning subgoal sequences for planning","?","?","1989"
"san mateo ca","ruby d kibler d","ruby d kibler d","proceedings ninth national conference on artificial intelligence","?","?","?","?","?","?","?","aaai press","?","steppingstone an empirical and analyt ical evaluation","?","?","1991"
"san mateo ca","ruby d kibler d","ruby d kibler d","proceedings ninth national conference on artificial intelligence","?","?","?","?","?","?","?","aaai press","?","steppingstone an empirical and analytical evaluation","?","?","1991"
"san mateo ca","ruby d kibler d","ruby d kibler d","proceedings ninth national conference on artificial intelligence","?","?","?","?","?","?","?","aaai press","?","steppingstone an empirical and analytical evaluation","?","?","1991"
"?","d ruby and d kibler","d ruby and d kibler","in proceedings of aaai 91","?","?","?","?","?","?","?","aaai press","?","learning subgoal sequences for planning","?","?","1991"
"?","d ruby and d kibler","d ruby and d kibler","in proceedings of aaai 91","?","?","?","?","?","?","?","aaai press","?","learning subgoal sequences for planning","?","?","1991"
"?","j sklansky and d f kibler","j sklansky and d f kibler","?","?","?","?","ieee trans syst man and cybernetics","sept","?","637 647","?","?","a theory of nonuniformity in digitized binary pictures","?","smc 6 9","1976"
"amherst ma","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","department of computer science university of mas sachusetts","?","?","?","?","?","?","multivariate versus univariate decision trees","tech nical report coins tr 92 8","?","1992"
"amherst ma","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","department of computer science university of massachusetts","?","?","?","?","?","?","multivariate versus univariate decision trees","technical report coins tr 92 8","?","1992"
"amherst ma","brodley c e and utgoff p e","brodley c e and utgoff p e","?","?","?","department of computer science university of massachusetts","?","?","?","?","?","?","multivariate versus univariate decision trees","technical report 92 8","?","1992"
"amherst ma","brodley c e and utgoff p e","brodley c e and utgoff p e","?","?","?","department of computer science university of massachusetts","?","?","?","?","?","?","multivariate versus univariate decision trees","technical report 92 8","?","1992"
"amherst ma","brodley c e and utgoff p e","brodley c e and utgoff p e","?","?","?","department of computer science university of massachusetts","?","?","?","?","?","?","multivariate versus univariate decision trees","technical report 92 8","?","1992"
"amherst ma","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","university of massachusetts department of computer and information science","?","?","?","?","?","?","multivariate versus univariate decision trees","coins technical report 92 8","?","1992"
"amherst ma","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","university of massachusetts department of computer and information science","?","?","?","?","?","?","multivariate versus univariate decision trees","coins technical report 92 8","?","1992"
"amherst ma","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","university of massachusetts department of computer and information science","?","?","?","?","?","?","multivariate versus univariate decision trees","coins technical report 92 8","?","1992"
"amherst ma","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","university of massachusetts department of computer and information science","?","?","?","?","?","?","multivariate versus univariate decision trees","coins technical report 92 8","?","1992"
"?","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","dept of computer science university of massachusetts atamherst","?","?","?","?","?","?","multivariate versus univariate decision trees","tech rep coins cr 92 8","?","1992"
"?","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","dept of computer science university of massachusetts at amherst","?","?","?","?","?","?","multivariate versus univariate decision trees","tech rep coins cr 92 8","?","1992"
"?","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","dept of computer science university of massachusetts at amherst","?","?","?","?","?","?","multivariate versus univariate decision trees","tech rep coins cr 92 8","?","1992"
"?","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","dept of computer science university of massachusetts at amherst","?","?","?","?","?","?","multivariate versus univariate decision trees","tech rep coins cr 92 8","?","1992"
"?","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","dept of computer science university of massachusetts at amherst","?","?","?","?","?","?","multivariate versus univariate decision trees","tech rep coins cr 92 8","?","1992"
"?","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","dept of computer science university of massachusetts at amherst","?","?","?","?","?","?","multivariate versus univariate decision trees","tech rep coins cr 92 8","?","1992"
"?","brodley c e utgoff p e","brodley c e utgoff p e","?","?","?","dept of computer science university of massachusetts at amherst","?","?","?","?","?","?","multivariate versus univariate decision trees","tech rep coins cr 92 8","?","1992"
"?","brodley c e and utgoff p e","brodley c e and utgoff p e","?","?","?","dept of computer science univ of mass","?","?","?","?","?","?","multivariate versus univariate decision trees","coins technical report 92 8","?","1992"
"amherst massachusetts usa","c e brodley and p e ut goff","c e brodley and p e ut goff","?","?","?","department of computer science university of massachusetts","?","?","?","?","?","?","multivariate versus univariate decision trees","coins technical report 92 8","?","1992"
